id,price_amount,marketing_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,departure_datetime,arrival_datetime,departure_query,arrival_query,segment_count,total_flight_duration
9618-2305221510--31896-1-9445-2305222110,193.33,Saudia > Saudia,Abu Dhabi International > Riyadh,AUH > RUH,Riyadh > Amman Queen Alia,RUH > AMM,2023-05-22 15:10:00,2023-05-22 21:10:00,AUH,AMM,2,260
9618-2305221510--32339-0-16029-2305221610,392.01,Etihad Airways,Abu Dhabi International,AUH,Riyadh,RUH,2023-05-22 15:10:00,2023-05-22 16:10:00,AUH,RUH,1,120
9618-2305221525--31896-1-10901-2305231135,163.46,Saudia > Saudia,Abu Dhabi International > Jeddah,AUH > JED,Jeddah > Hazrat Shahjalal International Airport ,JED > DAC,2023-05-22 15:25:00,2023-05-23 11:35:00,AUH,DAC,2,585
9618-2305221525--31896-1-12569-2305240125,349.9,Saudia > Saudia,Abu Dhabi International > Jeddah,AUH > JED,Jeddah > Islamabad,JED > ISB,2023-05-22 15:25:00,2023-05-24 01:25:00,AUH,ISB,2,500
9618-2305221525--31896-1-12569-2305240845,221.92,Saudia > Saudia,Abu Dhabi International > Jeddah,AUH > JED,Jeddah > Islamabad,JED > ISB,2023-05-22 15:25:00,2023-05-24 08:45:00,AUH,ISB,2,500
9618-2305221525--31896-1-13311-2305231555,442.14,Saudia > Saudia,Abu Dhabi International > Jeddah,AUH > JED,Jeddah > Kuala Lumpur International,JED > KUL,2023-05-22 15:25:00,2023-05-23 15:55:00,AUH,KUL,2,730
"9618-2305221540--32339,-31435-1-13938-2305222325",184.34,Etihad Airways > Vistara,Abu Dhabi International > Mumbai,AUH > BOM,Mumbai > Muscat,BOM > MCT,2023-05-22 15:40:00,2023-05-22 23:25:00,AUH,MCT,2,350
"9618-2305221540--32339,-31939-1-9882-2305222100",779.3,Etihad Airways > Qatar Airways,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Baghdad International,DOH > BGW,2023-05-22 15:40:00,2023-05-22 21:00:00,AUH,BGW,2,185
"9618-2305221540--32339,-32213-1-13938-2305222255",189.99,Etihad Airways > IndiGo,Abu Dhabi International > Mumbai,AUH > BOM,Mumbai > Muscat,BOM > MCT,2023-05-22 15:40:00,2023-05-22 22:55:00,AUH,MCT,2,345
9618-2305221540--32339-0-11089-2305221540,125.37,Etihad Airways,Abu Dhabi International,AUH,Hamad International,DOH,2023-05-22 15:40:00,2023-05-22 15:40:00,AUH,DOH,1,60
"9618-2305221640--32257,-32348-2-9561-2305230325",413.99,Gulf Air > Emirates > Emirates,Abu Dhabi International > Bahrain > Dubai,AUH > BAH > DXB,Bahrain > Dubai > Ashgabat,BAH > DXB > ASB,2023-05-22 16:40:00,2023-05-23 03:25:00,AUH,ASB,3,295
"9618-2305221640--32339,-32348-2-9561-2305230325",384.99,Etihad Airways > Emirates > Emirates,Abu Dhabi International > Bahrain > Dubai,AUH > BAH > DXB,Bahrain > Dubai > Ashgabat,BAH > DXB > ASB,2023-05-22 16:40:00,2023-05-23 03:25:00,AUH,ASB,3,295
"9618-2305221700--31669,-31964-2-15277-2305240125",507.99,Wizz Air > Philippine Airlines > Philippine Airlines,Abu Dhabi International > Dammam > Manila Ninoy Aquino,AUH > DMM > MNL,Dammam > Manila Ninoy Aquino > Beijing Capital,DMM > MNL > PEK,2023-05-22 17:00:00,2023-05-24 01:25:00,AUH,PEK,3,1005
"9618-2305221700--31669,-32036,-31836-3-11191-2305231500",380.99,Wizz Air > Flynas > Flynas > Somon Air,Abu Dhabi International > Dammam > Riyadh > Dubai,AUH > DMM > RUH > DXB,Dammam > Riyadh > Dubai > Dushanbe,DMM > RUH > DXB > DYU,2023-05-22 17:00:00,2023-05-23 15:00:00,AUH,DYU,4,470
"9618-2305221700--31669,-32348,-31836-2-11191-2305231500",496.99,Wizz Air > Emirates > Somon Air,Abu Dhabi International > Dammam > Dubai,AUH > DMM > DXB,Dammam > Dubai > Dushanbe,DMM > DXB > DYU,2023-05-22 17:00:00,2023-05-23 15:00:00,AUH,DYU,3,355
"9618-2305221700--31669,-32348-2-9561-2305230325",311.99,Wizz Air > Emirates > Emirates,Abu Dhabi International > Dammam > Dubai,AUH > DMM > DXB,Dammam > Dubai > Ashgabat,DMM > DXB > ASB,2023-05-22 17:00:00,2023-05-23 03:25:00,AUH,ASB,3,330
"9618-2305221700--31669,-32714-2-9882-2305230920",263.99,Wizz Air > Air Arabia > Air Arabia,Abu Dhabi International > Dammam > Sharjah,AUH > DMM > SHJ,Dammam > Sharjah > Baghdad International,DMM > SHJ > BGW,2023-05-22 17:00:00,2023-05-23 09:20:00,AUH,BGW,3,315
"9618-2305221700--32761,-31734-2-9561-2305240210",469.5,Wizz Air Abu Dhabi > Turkish Airlines > Turkish Airlines,Abu Dhabi International > Dammam > Istanbul,AUH > DMM > IST,Dammam > Istanbul > Ashgabat,DMM > IST > ASB,2023-05-22 17:00:00,2023-05-24 02:10:00,AUH,ASB,3,575
"9618-2305221700--32761,-31964-1-14213-2305231025",492.53,Wizz Air Abu Dhabi > Philippine Airlines,Abu Dhabi International > Dammam,AUH > DMM,Dammam > Manila Ninoy Aquino,DMM > MNL,2023-05-22 17:00:00,2023-05-23 10:25:00,AUH,MNL,2,705
"9618-2305221745--31939,-31703-2-12409-2305231625",1268.9,Qatar Airways > Qatar Airways > Vietnam Airlines,Abu Dhabi International > Hamad International > Ho Chi Minh City,AUH > DOH > SGN,Hamad International > Ho Chi Minh City > Incheon International Airport,DOH > SGN > ICN,2023-05-22 17:45:00,2023-05-23 16:25:00,AUH,ICN,3,840
"9618-2305221745--31939,-31703-2-17606-2305231045",1048.89,Qatar Airways > Qatar Airways > Vietnam Airlines,Abu Dhabi International > Hamad International > Hanoi,AUH > DOH > HAN,Hamad International > Hanoi > Vientiane,DOH > HAN > VTE,2023-05-22 17:45:00,2023-05-23 10:45:00,AUH,VTE,3,585
"9618-2305221745--31939,-31767-2-17075-2305231305",717.89,Qatar Airways > Qatar Airways > Thai Airways,Abu Dhabi International > Hamad International > Bangkok Suvarnabhumi,AUH > DOH > BKK,Hamad International > Bangkok Suvarnabhumi > Taipei Taiwan Taoyuan,DOH > BKK > TPE,2023-05-22 17:45:00,2023-05-23 13:05:00,AUH,TPE,3,715
"9618-2305221745--31939,-31924-2-10258-2305231420",590.93,Qatar Airways > Qatar Airways > Royal Brunei ,Abu Dhabi International > Hamad International > Singapore Changi,AUH > DOH > SIN,Hamad International > Singapore Changi > Bandar Seri Begawan,DOH > SIN > BWN,2023-05-22 17:45:00,2023-05-23 14:20:00,AUH,BWN,3,680
"9618-2305221745--31939,-31964-1-14213-2305231035",506.9,Qatar Airways > Philippine Airlines,Abu Dhabi International > Hamad International,AUH > DOH,Hamad International > Manila Ninoy Aquino,DOH > MNL,2023-05-22 17:45:00,2023-05-23 10:35:00,AUH,MNL,2,665
