id,price_amount,marketing_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,departure_datetime,arrival_datetime,departure_query,arrival_query,segment_count,total_flight_duration,flight_score
"12569-2305221000--31963,-32301-2-12461-2305222345",352.6,PIA > flydubai > flydubai,Islamabad > Karachi > Dubai,ISB > KHI > DXB,Karachi > Dubai > Imam Khomeini International,KHI > DXB > IKA,2023-05-22 10:00:00,2023-05-22 23:45:00,ISB,IKA,3,385,630.93
12569-2305220945--31939-1-13288-2305230100,749.4,Qatar Airways > Qatar Airways,Islamabad > Hamad International,ISB > DOH,Hamad International > Kathmandu,DOH > KTM,2023-05-22 09:45:00,2023-05-23 01:00:00,ISB,KTM,2,505,1017.73
12569-2305220245--31963-0-13311-2305221130,490.69,PIA,Islamabad,ISB,Kuala Lumpur International,KUL,2023-05-22 02:45:00,2023-05-22 11:30:00,ISB,KUL,1,345,655.69
12569-2305220430--32036-1-13344-2305221455,242.8,Flynas > Flynas,Islamabad > Riyadh,ISB > RUH,Riyadh > Kuwait,RUH > KWI,2023-05-22 04:30:00,2023-05-22 14:55:00,ISB,KWI,2,350,459.47
"12569-2305220430--32036,-31669-1-13445-2305230150",281.99,Flynas > Wizz Air,Islamabad > Riyadh,ISB > RUH,Riyadh > Larnaca,RUH > LCA,2023-05-22 04:30:00,2023-05-23 01:50:00,ISB,LCA,2,485,543.66
12569-2305221000--32003-0-13938-2305221200,249.61,Oman Air,Islamabad,ISB,Muscat,MCT,2023-05-22 10:00:00,2023-05-22 12:00:00,ISB,MCT,1,180,359.61
"12569-2305222150--31963,-32761-1-14155-2305232025",348.6,PIA > Wizz Air Abu Dhabi,Islamabad > Abu Dhabi International,ISB > AUH,Abu Dhabi International > Velana International,AUH > MLE,2023-05-22 21:50:00,2023-05-23 20:25:00,ISB,MLE,2,540,628.6
"12569-2305222320--31767,-32454-1-14213-2305231600",440.27,Thai Airways > Cebu Pacific,Islamabad > Bangkok Suvarnabhumi,ISB > BKK,Bangkok Suvarnabhumi > Manila Ninoy Aquino,BKK > MNL,2023-05-22 23:20:00,2023-05-23 16:00:00,ISB,MNL,2,530,716.94
"12569-2305220110--31963,-32301,-32708-2-25715-2305230755",536.8,PIA > flydubai > Air Astana,Islamabad > Dubai > Almaty,ISB > DXB > ALA,Dubai > Almaty > Astana Nursultan Nazarbayev,DXB > ALA > NQZ,2023-05-22 01:10:00,2023-05-23 07:55:00,ISB,NQZ,3,565,875.13
"12569-2305222320--31767,-31705-2-14788-2305240740",511.99,Thai Airways > VietJet Air > VietJet Air,Islamabad > Bangkok Suvarnabhumi > Ho Chi Minh City,ISB > BKK > SGN,Bangkok Suvarnabhumi > Ho Chi Minh City > Tokyo Narita,BKK > SGN > NRT,2023-05-22 23:20:00,2023-05-24 07:40:00,ISB,NRT,3,775,920.32
"12569-2305222320--31767,-31880-2-15277-2305241050",504.79,Thai Airways > Shenzhen Airlines > Shenzhen Airlines,Islamabad > Bangkok Suvarnabhumi > Shenzhen Bao'an International,ISB > BKK > SZX,Bangkok Suvarnabhumi > Shenzhen Bao'an International > Beijing Capital,BKK > SZX > PEK,2023-05-22 23:20:00,2023-05-24 10:50:00,ISB,PEK,3,685,883.12
"12569-2305222320--31767,-31250-1-15458-2305230955",373.8,Thai Airways > Thai VietJet Air,Islamabad > Bangkok Suvarnabhumi,ISB > BKK,Bangkok Suvarnabhumi > Phnom Penh,BKK > PNH,2023-05-22 23:20:00,2023-05-23 09:55:00,ISB,PNH,2,375,598.8
12569-2305221000--32003-1-16029-2305221515,254.67,Oman Air > Oman Air,Islamabad > Muscat,ISB > MCT,Muscat > Riyadh,MCT > RUH,2023-05-22 10:00:00,2023-05-22 15:15:00,ISB,RUH,2,320,461.34
"12569-2305222320--31767,-31757-1-16292-2305231210",384.2,Thai Airways > Scoot,Islamabad > Bangkok Suvarnabhumi,ISB > BKK,Bangkok Suvarnabhumi > Singapore Changi,BKK > SIN,2023-05-22 23:20:00,2023-05-23 12:10:00,ISB,SIN,2,440,630.87
"12569-2305221310--31963,-32301-1-16759-2305230240",503.2,PIA > flydubai,Islamabad > Dubai,ISB > DXB,Dubai > Tashkent,DXB > TAS,2023-05-22 13:10:00,2023-05-23 02:40:00,ISB,TAS,2,425,744.87
"12569-2305220110--31963,-32301-1-16785-2305221425",437.2,PIA > flydubai,Islamabad > Dubai,ISB > DXB,Dubai > Tbilisi,DXB > TBS,2023-05-22 01:10:00,2023-05-22 14:25:00,ISB,TBS,2,420,677.2
"12569-2305222150--31963,-32761-1-16995-2305231050",298.1,PIA > Wizz Air Abu Dhabi,Islamabad > Abu Dhabi International,ISB > AUH,Abu Dhabi International > Ben Gurion Intl,AUH > TLV,2023-05-22 21:50:00,2023-05-23 10:50:00,ISB,TLV,2,440,544.77
"12569-2305222320--31767,-31250-1-17075-2305231440",430.52,Thai Airways > Thai VietJet Air,Islamabad > Bangkok Suvarnabhumi,ISB > BKK,Bangkok Suvarnabhumi > Taipei Taiwan Taoyuan,BKK > TPE,2023-05-22 23:20:00,2023-05-23 14:40:00,ISB,TPE,2,530,707.19
12569-2305220505--31734-1-25768-2305230710,670.0,Turkish Airlines > Turkish Airlines,Islamabad > Istanbul,ISB > IST,Istanbul > Chinggis Khaan,IST > UBN,2023-05-22 05:05:00,2023-05-23 07:10:00,ISB,UBN,2,835,1048.33
"12569-2305222320--31767,-31768-1-17606-2305231315",368.0,Thai Airways > Thai AirAsia,Islamabad > Don Mueang,ISB > DMK,Bangkok Suvarnabhumi > Vientiane,BKK > VTE,2023-05-22 23:20:00,2023-05-23 13:15:00,ISB,VTE,2,375,593.0
13288-2305220855--32301-1-9445-2305222120,410.38,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Amman Queen Alia,DXB > AMM,2023-05-22 08:55:00,2023-05-22 21:20:00,KTM,AMM,2,500,677.05
13288-2305221955--32301-1-9561-2305230325,420.81,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Ashgabat,DXB > ASB,2023-05-22 19:55:00,2023-05-23 03:25:00,KTM,ASB,2,435,665.81
13288-2305221520--32213-1-9618-2305222345,185.9,IndiGo > IndiGo,Kathmandu > Mumbai,KTM > BOM,Mumbai > Abu Dhabi International,BOM > AUH,2023-05-22 15:20:00,2023-05-22 23:45:00,KTM,AUH,2,335,397.57
13288-2305220125--32301-1-9715-2305220730,611.95,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Bahrain,DXB > BAH,2023-05-22 01:25:00,2023-05-22 07:30:00,KTM,BAH,2,380,838.62
13288-2305220125--32301-1-9834-2305222155,575.49,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Beirut,DXB > BEY,2023-05-22 01:25:00,2023-05-22 21:55:00,KTM,BEY,2,545,857.16
13288-2305220125--32301-1-9882-2305221755,1010.21,flydubai > flydubai,Kathmandu > Dubai,KTM > DXB,Dubai > Baghdad International,DXB > BGW,2023-05-22 01:25:00,2023-05-22 17:55:00,KTM,BGW,2,455,1261.88
13288-2305221330--31766-0-9970-2305221815,270.87,Thai Smile,Kathmandu,KTM,Bangkok Suvarnabhumi,BKK,2023-05-22 13:30:00,2023-05-22 18:15:00,KTM,BKK,1,210,390.87
"13288-2305222130--32076,-32611-1-10258-2305231545",404.1,Malindo Air > AirAsia,Kathmandu > Kuala Lumpur International,KTM > KUL,Kuala Lumpur International > Bandar Seri Begawan,KUL > BWN,2023-05-22 21:30:00,2023-05-23 15:45:00,KTM,BWN,2,430,647.43
