id,price_amount,price_unit,segment_id,transfer_type,agent_name,duration_minutes,marketing_flight_number,marketing_carrier_name,operating_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,arrival_datetime,departure_datetime
12907-2305220930--32150-0-12461-2305221130,374500.0,PRICE_UNIT_MILLI,12907-12461-2305220930-2305221130--32150,TRANSFER_TYPE_MANAGED,SmartFares,180,7711,Kam Air,Kam Air,Kabul,KBL,Imam Khomeini International,IKA,2023-05-22 11:30:00,2023-05-22 09:30:00
12907-2305221900--32150-0-9618-2305222145,398900.0,PRICE_UNIT_MILLI,12907-9618-2305221900-2305222145--32150,TRANSFER_TYPE_MANAGED,SmartFares,195,903,Kam Air,Kam Air,Kabul,KBL,Abu Dhabi International,AUH,2023-05-22 21:45:00,2023-05-22 19:00:00
