id,price_amount,price_unit,segment_id,transfer_type,agent_name,duration_minutes,marketing_flight_number,marketing_carrier_name,operating_carrier_name,origin_place_name,origin_place_iata,destination_place_name,destination_place_iata,arrival_datetime,departure_datetime
12071-2305221035--31766-0-9970-2305221225,117700.0,PRICE_UNIT_MILLI,12071-9970-2305221035-2305221225--31766,TRANSFER_TYPE_MANAGED,Trip.com,110,561,Thai Smile,Thai Smile,Hanoi,HAN,Bangkok Suvarnabhumi,BKK,2023-05-22 12:25:00,2023-05-22 10:35:00
12071-2305222045--31766-0-9970-2305222235,117700.0,PRICE_UNIT_MILLI,12071-9970-2305222045-2305222235--31766,TRANSFER_TYPE_MANAGED,Trip.com,110,565,Thai Smile,Thai Smile,Hanoi,HAN,Bangkok Suvarnabhumi,BKK,2023-05-22 22:35:00,2023-05-22 20:45:00
12071-2305221550--31705-0-9970-2305221735,61500.0,PRICE_UNIT_MILLI,12071-9970-2305221550-2305221735--31705,TRANSFER_TYPE_MANAGED,Trip.com,105,903,VietJet Air,VietJet Air,Hanoi,HAN,Bangkok Suvarnabhumi,BKK,2023-05-22 17:35:00,2023-05-22 15:50:00
12071-2305221110--31705-0-9970-2305221300,90100.0,PRICE_UNIT_MILLI,12071-9970-2305221110-2305221300--31705,TRANSFER_TYPE_MANAGED,Trip.com,110,901,VietJet Air,VietJet Air,Hanoi,HAN,Bangkok Suvarnabhumi,BKK,2023-05-22 13:00:00,2023-05-22 11:10:00
12071-2305221110--31100-0-9970-2305221300,133630.0,PRICE_UNIT_MILLI,12071-9970-2305221110-2305221300--31100,TRANSFER_TYPE_MANAGED,SmartFares,110,2901,APG Airlines,VietJet Air,Hanoi,HAN,Bangkok Suvarnabhumi,BKK,2023-05-22 13:00:00,2023-05-22 11:10:00
12071-2305221150--30775-0-9970-2305221350,75500.0,PRICE_UNIT_MILLI,12071-9970-2305221150-2305221350--30775,TRANSFER_TYPE_MANAGED,Trip.com,120,137,Vietravel Airlines,Vietravel Airlines,Hanoi,HAN,Bangkok Suvarnabhumi,BKK,2023-05-22 13:50:00,2023-05-22 11:50:00
12071-2305221120--31703-0-9970-2305221330,80900.0,PRICE_UNIT_MILLI,12071-9970-2305221120-2305221330--31703,TRANSFER_TYPE_MANAGED,Trip.com,130,6823,Vietnam Airlines,Pacific Airlines,Hanoi,HAN,Bangkok Suvarnabhumi,BKK,2023-05-22 13:30:00,2023-05-22 11:20:00
12071-2305221610--31703-0-9970-2305221805,93900.0,PRICE_UNIT_MILLI,12071-9970-2305221610-2305221805--31703,TRANSFER_TYPE_MANAGED,Trip.com,115,619,Vietnam Airlines,Vietnam Airlines,Hanoi,HAN,Bangkok Suvarnabhumi,BKK,2023-05-22 18:05:00,2023-05-22 16:10:00
